_id,name,bic,isin,kurz,min,max,Negativní scénář (růstová míra %),Neutrální scénář (růstová míra %),Pozitivní scénář (růstová míra %)
65d74ebd108ec9dc4eb3d655,"MONETA MB 3,30/29",BDAGECBA,CZ0003704918,100,100,100,-0.11,-0.47,-1.04
65d74ebd108ec9dc4eb3d656,"NET4GAS 2,75/25",,CZ0003519472,99.95,99.95,99.95,0.49,0.48,-2.04
65d74ebd108ec9dc4eb3d657,"UCINV III 6,50/26",BDAUNIIO,CZ0003523268,100,100,100,-2.02,-1.33,2.23
65d74ebd108ec9dc4eb3d658,SPP 26T 19/01,BIJSTDL,CZ0001007231,98.11,98.11,98.11,0.16,0.15,-2.06
65d74ebd108ec9dc4eb3d659,"ČS 7,41/27",BOOCSPO,CZ0003707291,100,100,100,1.69,2.26,1.09
65d74ebd108ec9dc4eb3d65a,"ST.DLUHOP. 0,00/27",BHCSTDL,CZ0001006043,100.1,100.1,100.1,-0.29,1.08,1.63
65d74ebd108ec9dc4eb3d65b,"ST.DLUHOP. 3,50/35",BHSSTDL,CZ0001006431,105.56,105.56,105.56,-1.29,-0.39,0.69
65d74ebd108ec9dc4eb3d65c,ČSNF SICAV VAR/26,BDBBOHRE,CZ0003542458,99.78,99.78,99.78,-2.26,-2.35,-1.85
65d74ebd108ec9dc4eb3d65d,"ST.DLUHOP. 0,95/30",BEUSTDL,CZ0001004477,95.66,95.66,95.66,-0.97,-0.81,1.69
65d74ebd108ec9dc4eb3d65e,"ST.DLUHOP. 2,00/33",BGCSTDL,CZ0001005243,102.5,102.5,102.5,-1.24,0.77,0.81
65d74ebd108ec9dc4eb3d65f,"PSG 7,60/28",BDCPASFI,CZ0003549214,100,100,100,0.74,0.1,1.17
65d74ebd108ec9dc4eb3d660,UNICAP.INV. VAR/26,BDCUNIIP,CZ0003557159,100,100,100,-0.32,0.38,0.52
65d74ebd108ec9dc4eb3d661,CSG VAR/24,BDDCZEGR,CZ0003523151,100,100,100,-1.56,-1.7,-0.11
65d74ebd108ec9dc4eb3d662,"ST.DLUHOP. 5,00/30",BHWSTDL,CZ0001006688,107.21,107.21,107.21,0.35,0.71,-1.43
65d74ebd108ec9dc4eb3d663,"ST.DLUHOP. 4,20/36",BCASTDL,CZ0001001796,99.61,99.61,99.61,0.74,1.61,2.44
65d74ebd108ec9dc4eb3d664,CITY HF III VAR/27,BDACITHQ,CZ0003552143,100,100,100,-2.38,-2.57,-0.59
65d74ebd108ec9dc4eb3d665,"ČSNF SICAV 6,90/27",BDGBOHRE,CZ0003548919,100.88,100.88,100.88,1.65,1.98,-0.54
65d74ebd108ec9dc4eb3d666,"ČSNF SICAV 7,80/26",BDCBOHRE,CZ0003542466,99.81,99.81,99.81,0.9,0.24,0.14
65d74ebd108ec9dc4eb3d667,TRIGEMA REF VAR/25,BDDTRIRE,CZ0003537367,100,100,100,-1.4,-1.44,0.74
65d74ebd108ec9dc4eb3d668,DEKINVEST VAR/26,BDADEKIN,CZ0003553190,100,100,100,-0.2,-0.65,-0.25
65d74ebd108ec9dc4eb3d669,"ST.DLUHOP. 5,75/29",BIDSTDL,CZ0001007025,107.83,107.83,107.83,1.68,2.64,2.38
65d74ebd108ec9dc4eb3d66a,"ST.DLUHOP. 4,50/32",BIESTDL,CZ0001007033,102.55,102.55,102.55,1.34,1.06,0.73
65d74ebd108ec9dc4eb3d66b,"HZL EQUA B.1,65/25",BDEICBA,CZ0002006893,100,100,100,1.75,1.58,-0.47
65d74ebd108ec9dc4eb3d66c,"ST.DLUHOP. 1,20/31",BGUSTDL,CZ0001005888,101.65,101.65,101.65,-0.95,0.19,1.24
65d74ebd108ec9dc4eb3d66d,"ST.DLUHOP. 0,00/24 - 1",BHISTDL,CZ0001006167,96.76,96.76,96.76,-2.24,0.33,1.48
65d74ebd108ec9dc4eb3d66e,COLTCZ VAR/30,BDCCZGCE,CZ0003550295,100,100,100,-0.91,1.11,0.3
65d74ebd108ec9dc4eb3d66f,REGIOJET F. VAR/24,BDAREGFI,CZ0003522203,91,91,91,-1.18,0.8,1.43
65d74ebd108ec9dc4eb3d670,PSG VAR/29,BDBPASFI,CZ0003544371,100,100,100,0.21,0.42,0.21
65d74ebd108ec9dc4eb3d671,UNICAP.INV. VAR/25 - 1,BDBUNIIP,CZ0003545527,100,100,100,-1.9,0.06,0.75
65d74ebd108ec9dc4eb3d672,"ST.DLUHOP. 2,40/25",BEQSTDL,CZ0001004253,99.37,99.37,99.37,-0.81,-0.75,-2.1
65d74ebd108ec9dc4eb3d673,"ST.DLUHOP. 2,75/29",BGESTDL,CZ0001005375,107.24,107.24,107.24,-1.86,0.3,0.22
65d74ebd108ec9dc4eb3d674,"GEVORK. CZ 4,50/26",BDAGEVCZ,CZ0003535809,100.34,100.34,100.34,0.96,-0.81,-2.33
65d74ebd108ec9dc4eb3d675,AQUAPALACE VAR/34,BDAGVALE,CZ0003501637,100,100,100,-0.87,-0.85,1.94
65d74ebd108ec9dc4eb3d676,"NET4GAS 2,745/31",BDCNETGA,CZ0003529794,100,100,100,1.7,-1.27,-1.5
65d74ebd108ec9dc4eb3d677,"HB REAVIS 4,85/25",BDAHBREB,CZ0003528911,100,100,100,-0.67,1.78,2.06
65d74ebd108ec9dc4eb3d678,"ST.DLUHOP. 6,00/26",BHVSTDL,CZ0001006506,103.57,103.57,103.57,-0.38,1.69,1.88
65d74ebd108ec9dc4eb3d679,"HZL HVB 5,00/25",BDFVERBA,CZ0002000680,113,113,113,1.88,2.39,2.5
65d74ebd108ec9dc4eb3d67a,"ČSNF SICAV 8,10/26",BDDBOHRE,CZ0003707689,101.04,101.04,101.04,1.11,0.11,0.81
65d74ebd108ec9dc4eb3d67b,"HZL MONETA 4,97/26",BDLGECBA,CZ0002009012,100,100,100,-2.33,-1.74,-0.87
65d74ebd108ec9dc4eb3d67c,"BABIČKIN D.5,75/25",BDABABDV,CZ0003532590,101.53,101.53,101.53,-1.63,-1.26,-2.08
65d74ebd108ec9dc4eb3d67d,"HZL MONETA 4,83/27",BDMGECBA,CZ0002009020,100,100,100,-1.03,-0.69,-2.47
65d74ebd108ec9dc4eb3d67e,"ST.DLUHOP. 1,50/40",BGYSTDL,CZ0001005920,95.93,95.93,95.93,-1.31,-0.4,-1.91
65d74ebd108ec9dc4eb3d67f,"ST.DLUHOP. 4,85/57",BCESTDL,CZ0001002059,100,100,100,2.35,-1.11,-2.45
65d74ebd108ec9dc4eb3d680,"ST.DLUHOP. 1,95/37",BHPSTDL,CZ0001006316,100,100,100,1.61,2.1,1.31
